Game Turn, Player, Boosted System, Progress
107, 6, CIVIC_MERCENARIES, Unstarted
108, 3, CIVIC_FEUDALISM, In Progress
108, 18, TECH_APPRENTICESHIP, Unstarted
109, 1, TECH_METAL_CASTING, Unstarted
110, 6, CIVIC_RECORDED_HISTORY, In Progress
110, 8, CIVIC_MILITARY_TRAINING, Unstarted
110, 8, TECH_MATHEMATICS, Unstarted
110, 14, CIVIC_DEFENSIVE_TACTICS, In Progress
110, 18, CIVIC_NATIONALISM, Unstarted
110, 19, CIVIC_NATIONALISM, Unstarted
110, 24, CIVIC_NATIONALISM, Unstarted
112, 2, TECH_BUTTRESS, Unstarted
112, 2, CIVIC_MERCENARIES, Unstarted
112, 20, TECH_ENGINEERING, Completed
112, 2, TECH_BUTTRESS, Unstarted
112, 2, CIVIC_MERCENARIES, Unstarted
112, 20, TECH_ENGINEERING, Completed
115, 3, TECH_CONSTRUCTION, In Progress
115, 7, CIVIC_REFORMED_CHURCH, Unstarted
115, 0, CIVIC_CIVIL_SERVICE, Unstarted
115, 0, TECH_MACHINERY, Unstarted
116, 2, TECH_MILITARY_TACTICS, Unstarted
116, 10, CIVIC_NATIONALISM, Unstarted
116, 6, TECH_IRON_WORKING, Unstarted
116, 6, TECH_APPRENTICESHIP, Unstarted
116, 21, TECH_ENGINEERING, Completed
116, 0, TECH_MILITARY_ENGINEERING, Unstarted
117, 1, CIVIC_FEUDALISM, Unstarted
118, 2, CIVIC_MILITARY_TRAINING, Unstarted
118, 7, TECH_IRON_WORKING, Unstarted
118, 12, TECH_ENGINEERING, Completed
118, 19, TECH_IRON_WORKING, Unstarted
118, 19, TECH_APPRENTICESHIP, Completed
119, 2, CIVIC_REFORMED_CHURCH, Unstarted
119, 4, CIVIC_MILITARY_TRAINING, Unstarted
120, 3, TECH_MASS_PRODUCTION, Unstarted
120, 1, CIVIC_MERCANTILISM, Unstarted
120, 3, TECH_MASS_PRODUCTION, Unstarted
121, 4, CIVIC_THE_ENLIGHTENMENT, Unstarted
121, 3, TECH_STIRRUPS, Unstarted
121, 22, TECH_ENGINEERING, Completed
122, 10, CIVIC_MERCENARIES, Unstarted
123, 2, TECH_BANKING, Unstarted
123, 0, TECH_STIRRUPS, Unstarted
123, 0, CIVIC_THE_ENLIGHTENMENT, Unstarted
124, 4, TECH_STIRRUPS, Unstarted
124, 8, CIVIC_MERCANTILISM, Unstarted
124, 8, CIVIC_THE_ENLIGHTENMENT, Unstarted
126, 4, CIVIC_REFORMED_CHURCH, Unstarted
127, 6, TECH_MATHEMATICS, In Progress
127, 7, CIVIC_RECORDED_HISTORY, In Progress
127, 0, TECH_ASTRONOMY, Unstarted
127, 0, TECH_METAL_CASTING, Unstarted
128, 4, TECH_IRON_WORKING, Unstarted
128, 5, TECH_STIRRUPS, Unstarted
128, 8, TECH_MASS_PRODUCTION, Unstarted
128, 5, CIVIC_DIPLOMATIC_SERVICE, Unstarted
128, 1, CIVIC_DIPLOMATIC_SERVICE, Unstarted
128, 4, CIVIC_DIPLOMATIC_SERVICE, Unstarted
126, 4, CIVIC_REFORMED_CHURCH, Unstarted
127, 6, TECH_MATHEMATICS, In Progress
127, 7, CIVIC_RECORDED_HISTORY, In Progress
127, 0, TECH_ASTRONOMY, Unstarted
127, 5, CIVIC_DIPLOMATIC_SERVICE, Unstarted
127, 1, CIVIC_DIPLOMATIC_SERVICE, Unstarted
127, 4, CIVIC_DIPLOMATIC_SERVICE, Unstarted
128, 4, TECH_IRON_WORKING, Unstarted
128, 5, TECH_STIRRUPS, Unstarted
128, 8, TECH_MASS_PRODUCTION, Unstarted
129, 0, TECH_METAL_CASTING, Unstarted
130, 1, TECH_MASS_PRODUCTION, Unstarted
131, 8, CIVIC_MERCENARIES, Unstarted
131, 21, CIVIC_MERCENARIES, Unstarted
132, 0, TECH_PRINTING, Unstarted
134, 5, TECH_BUTTRESS, Unstarted
134, 6, CIVIC_REFORMED_CHURCH, Unstarted
135, 10, CIVIC_CIVIL_SERVICE, Completed
136, 11, TECH_STIRRUPS, In Progress
137, 9, TECH_CARTOGRAPHY, Unstarted
137, 24, TECH_STIRRUPS, Unstarted
137, 1, CIVIC_MILITARY_TRAINING, Unstarted
137, 20, CIVIC_NATIONALISM, Unstarted
137, 1, TECH_SIEGE_TACTICS, Unstarted
138, 10, TECH_STIRRUPS, Unstarted
138, 12, TECH_STIRRUPS, Unstarted
138, 13, TECH_STIRRUPS, Unstarted
138, 19, TECH_STIRRUPS, Unstarted
138, 20, TECH_STIRRUPS, Unstarted
138, 0, TECH_MILITARY_SCIENCE, Unstarted
139, 1, TECH_CASTLES, Unstarted
140, 6, CIVIC_MILITARY_TRAINING, Unstarted
140, 9, CIVIC_NAVAL_TRADITION, Unstarted
140, 16, TECH_STIRRUPS, Unstarted
140, 21, TECH_STIRRUPS, In Progress
140, 0, CIVIC_CIVIL_ENGINEERING, Unstarted
141, 18, TECH_STIRRUPS, Unstarted
142, 22, TECH_STIRRUPS, Unstarted
143, 4, TECH_BANKING, Unstarted
144, 6, TECH_STIRRUPS, In Progress
144, 20, TECH_METAL_CASTING, Unstarted
144, 0, CIVIC_DIVINE_RIGHT, In Progress
144, 1, TECH_STIRRUPS, Unstarted
144, 6, CIVIC_DIPLOMATIC_SERVICE, Unstarted
146, 2, TECH_MILITARY_SCIENCE, Unstarted
146, 1, TECH_BUTTRESS, Unstarted
147, 7, CIVIC_NAVAL_TRADITION, Unstarted
148, 5, TECH_BANKING, Unstarted
148, 11, TECH_METAL_CASTING, Unstarted
148, 0, CIVIC_COLONIALISM, Unstarted
148, 0, TECH_BANKING, Unstarted
148, 0, CIVIC_GUILDS, Completed
150, 1, TECH_EDUCATION, Unstarted
150, 1, TECH_RIFLING, Unstarted
150, 0, TECH_RIFLING, Unstarted
151, 7, TECH_MILITARY_ENGINEERING, Unstarted
152, 0, TECH_GUNPOWDER, Unstarted
153, 3, TECH_BANKING, Unstarted
