Turn, Event, Origin Civ, Destination Civ, Total Tokens Given
107, Token used by 2, 2, 24, 3
107, Token used by 3, 3, 16, 6
109, Token used by 0, 0, 20, 1
109, Token used by 0, 0, 20, 2
109, Token used by 0, 0, 20, 3
109, Unique Bonus received by 0, 0, 20, 3
110, Token used by 8, 8, 24, 2
112, Token used by 4, 4, 10, 1
112, Token used by 0, 0, 16, 1
112, Token used by 4, 4, 10, 1
112, Token used by 0, 0, 16, 1
113, Token used by 9, 9, 20, 2
114, Token used by 1, 1, 19, 4
114, Token used by 1, 1, 19, 5
116, Token used by 5, 5, 10, 3
116, Unique Bonus received by 5, 5, 10, 3
120, Token used by 1, 1, 24, 5
120, Token used by 1, 1, 24, 6
121, Token used by 6, 6, 21, 2
122, Token used by 2, 2, 23, 1
122, Token used by 6, 6, 13, 1
125, Token used by 5, 5, 12, 1
127, Token used by 6, 6, 10, 2
127, Token used by 6, 6, 10, 2
129, Token used by 9, 9, 20, 3
129, Token used by 0, 0, 20, 4
129, Unique Bonus received by 0, 0, 20, 4
131, Token used by 8, 8, 11, 5
132, Token used by 4, 4, 21, 2
134, Token used by 5, 5, 12, 4
134, Token used by 5, 5, 12, 5
134, Token used by 6, 6, 12, 7
137, Token used by 1, 1, 21, 1
137, Token used by 1, 1, 11, 1
139, Token used by 5, 5, 12, 6
139, Token used by 9, 9, 18, 2
139, Token used by 1, 1, 24, 5
139, Token used by 1, 1, 24, 6
139, Unique Bonus received by 1, 1, 24, 6
141, Token used by 2, 2, 12, 1
141, Token used by 3, 3, 21, 1
141, Token used by 4, 4, 12, 1
145, Token used by 5, 5, 18, 1
148, Token used by 6, 6, 13, 2
148, Token used by 7, 7, 21, 5
148, Token used by 0, 0, 22, 2
150, Token used by 0, 0, 18, 1
152, Token used by 4, 4, 12, 2
155, Token used by 6, 6, 13, 3
158, Token used by 5, 5, 18, 2
159, Token used by 1, 1, 11, 2
159, Token used by 1, 1, 11, 3
159, Token used by 1, 1, 11, 4
159, Token used by 1, 1, 11, 5
159, Token used by 1, 1, 11, 6
159, Token used by 0, 0, 16, 2
