Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
118, Granted to Player, GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, 8, 118
118, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, -1, -1
118, Great Person Activated, GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 8
118, Granted to Player, GREAT_PERSON_INDIVIDUAL_JOHN_THE_BAPTIST, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 0, 118
118, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_CONFUCIUS, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
120, Granted to Player, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 60, 1, 120
120, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_COLAEUS, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 60, -1, -1
121, Granted to Player, GREAT_PERSON_INDIVIDUAL_COMMANDANTE_RIBAS, GREAT_PERSON_CLASS_COMANDANTE_GENERAL, ERA_ANCIENT, 30, 4, 121
121, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JOHN_THE_BAPTIST, GREAT_PERSON_CLASS_PROPHET, Era TBD, 0
122, Granted to Player, GREAT_PERSON_INDIVIDUAL_BHASA, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, 2, 122
122, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, -1, -1
123, Granted to Player, GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, 2, 123
123, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 120, -1, -1
123, Granted to Player, GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 120, 0, 123
123, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, -1, -1
124, Great Person Activated, GREAT_PERSON_INDIVIDUAL_BHASA, GREAT_PERSON_CLASS_WRITER, Era TBD, 2
124, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
