Game Turn, Player, Action, Belief, City
121, 0, Found Religion, RELIGION_CUSTOM_4, N/A
121, 0, Add belief to Hartism, BELIEF_WORK_ETHIC, N/A
121, 0, Adopt Religion, N/A, LOC_CITY_NAME_NARANJO
121, 0, Adopt Religion, N/A, LOC_CITY_NAME_PALENQUE_MAYA
121, 0, Adopt Religion, N/A, LOC_CITY_NAME_YOKIB
121, 0, Adopt Religion, N/A, LOC_CITY_NAME_CHICHEN_ITZA
121, 1, Adopt Religion, N/A, CROOKED THRONE
121, 1, Adopt Religion, N/A, Verrinok
121, 1, Adopt Religion, N/A, Green Vale
121, 1, Adopt Religion, N/A, Nerevos
121, 1, Adopt Religion, N/A, Velkor-Daro
121, 2, Adopt Religion, N/A, LOC_CITY_NAME_NGULU_MAPU
121, 2, Adopt Religion, N/A, LOC_CITY_NAME_MAMULL_MAPU
121, 2, Adopt Religion, N/A, LOC_CITY_NAME_WENTE_MAPU
121, 2, Adopt Religion, N/A, LOC_CITY_NAME_PUEL_MAPU
121, 2, Adopt Religion, N/A, LOC_CITY_NAME_CHADI_MAPU
121, 2, Adopt Religion, N/A, LOC_CITY_NAME_HUILLI_MAPU
121, 3, Adopt Religion, N/A, LOC_CITY_NAME_STIRLING
121, 3, Adopt Religion, N/A, LOC_CITY_NAME_CULLEN
121, 3, Adopt Religion, N/A, LOC_CITY_NAME_ROXBURGH
121, 3, Adopt Religion, N/A, LOC_CITY_NAME_CAGUANA
121, 3, Adopt Religion, N/A, LOC_CITY_NAME_DUMFRIES
121, 4, Adopt Religion, N/A, LOC_CITY_NAME_BOGOTA
121, 4, Adopt Religion, N/A, LOC_CITY_NAME_CARTAGENA_DE_INDIAS
121, 4, Adopt Religion, N/A, LOC_CITY_NAME_PANAMA
121, 4, Adopt Religion, N/A, LOC_CITY_NAME_QUITO
121, 4, Adopt Religion, N/A, LOC_CITY_NAME_CUENCA
121, 5, Adopt Religion, N/A, LOC_CITY_NAME_SPARTA
121, 5, Adopt Religion, N/A, LOC_CITY_NAME_ATHENS
121, 5, Adopt Religion, N/A, LOC_CITY_NAME_OLYMPIA
121, 6, Adopt Religion, N/A, LOC_CITY_NAME_WASHINGTON
121, 6, Adopt Religion, N/A, LOC_CITY_NAME_CHICAGO
121, 6, Adopt Religion, N/A, LOC_CITY_NAME_NEW_YORK
121, 6, Adopt Religion, N/A, LOC_CITY_NAME_BOSTON
121, 6, Adopt Religion, N/A, LOC_CITY_NAME_NEW_ORLEANS
121, 7, Adopt Religion, N/A, LOC_CITY_NAME_OTTAWA
121, 7, Adopt Religion, N/A, LOC_CITY_NAME_MONTREAL
121, 7, Adopt Religion, N/A, LOC_CITY_NAME_HAMILTON
121, 7, Adopt Religion, N/A, LOC_CITY_NAME_QUEBEC_CITY
121, 8, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
121, 8, Adopt Religion, N/A, LOC_CITY_NAME_MBUMBI
121, 8, Adopt Religion, N/A, LOC_CITY_NAME_KWILA
121, 8, Adopt Religion, N/A, LOC_CITY_NAME_MBWILA
121, 8, Adopt Religion, N/A, LOC_CITY_NAME_BAKAVU
121, 9, Adopt Religion, N/A, LOC_CITY_NAME_MAJAPAHIT
121, 9, Adopt Religion, N/A, LOC_CITY_NAME_TUBAN
121, 9, Adopt Religion, N/A, LOC_CITY_NAME_BANJARMASIN
121, 9, Adopt Religion, N/A, LOC_CITY_NAME_JAKARTA
121, 10, Adopt Religion, N/A, LOC_CITY_NAME_CARDIFF
121, 11, Adopt Religion, N/A, LOC_CITY_NAME_KANDY
121, 12, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
121, 13, Adopt Religion, N/A, LOC_CITY_NAME_RAPA_NUI
121, 16, Adopt Religion, N/A, LOC_CITY_NAME_ARMAGH
121, 18, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
121, 19, Adopt Religion, N/A, LOC_CITY_NAME_SINGAPORE
121, 20, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON
121, 21, Adopt Religion, N/A, LOC_CITY_NAME_LA_VENTA
121, 22, Adopt Religion, N/A, LOC_CITY_NAME_VALLETTA
121, 23, Adopt Religion, N/A, LOC_CITY_NAME_PRESLAV
121, 24, Adopt Religion, N/A, LOC_CITY_NAME_JERUSALEM
121, 0, Add belief to Hartism, BELIEF_SACRED_PLACES, N/A
121, 0, Adopt Religion, N/A, LOC_CITY_NAME_NARANJO
