Game Turn, Player, BY TYPE: Tiles, Buildings, Districts, Population, Outgoing Trade Routes, TOURISM, Diplo Victory, BALANCE: Favor, LIFETIME: Favor, CO2 Per Turn
107, CIVILIZATION_MAPUCHE, 56, 21, 5, 41, 4, 8, 0, 102, 130, 0
107, CIVILIZATION_SCOTLAND, 49, 14, 3, 14, 0, 3, 0, 151, 151, 0
107, CIVILIZATION_GRAN_COLOMBIA, 56, 21, 3, 29, 6, 11, 0, 77, 77, 0
107, CIVILIZATION_GREECE, 36, 14, 5, 19, 0, 0, 0, 33, 33, 0
107, CIVILIZATION_AMERICA, 51, 13, 2, 12, 9, 11, 0, 113, 113, 0
107, CIVILIZATION_CANADA, 35, 24, 3, 8, 2, 8, 0, 0, 0, 0
107, CIVILIZATION_KONGO, 51, 16, 4, 20, 7, 3, 0, 10, 10, 0
107, CIVILIZATION_INDONESIA, 34, 15, 1, 8, 0, 0, 0, 58, 58, 0
107, CIVILIZATION_CARDIFF, 8, 14, 0, 8, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_KANDY, 12, 12, 0, 6, 6, 0, 0, 0, 0, 0
107, CIVILIZATION_LISBON, 12, 12, 2, 4, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_RAPA_NUI, 13, 12, 1, 5, 3, 0, 0, 0, 0, 0
107, CIVILIZATION_MOHENJO_DARO, 9, 12, 1, 7, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_ARMAGH, 12, 12, 1, 4, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_HATTUSA, 10, 14, 0, 3, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_SINGAPORE, 9, 14, 0, 5, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_BABYLON, 7, 11, 0, 7, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_LA_VENTA, 9, 14, 1, 4, 7, 0, 0, 0, 0, 0
107, CIVILIZATION_VALLETTA, 7, 11, 0, 7, 4, 0, 0, 0, 0, 0
107, CIVILIZATION_PRESLAV, 7, 12, 0, 3, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_JERUSALEM, 10, 12, 1, 6, 4, 0, 0, 0, 0, 0
107, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_MAYA, 53, 19, 8, 16, 8, 4, 0, 49, 49, 0
107, CIVILIZATION_EGYPT, 49, 17, 3, 14, 19, 0, 0, 189, 189, 0
108, CIVILIZATION_MAPUCHE, 57, 21, 5, 45, 4, 8, 0, 104, 132, 0
108, CIVILIZATION_SCOTLAND, 49, 14, 3, 17, 0, 3, 0, 153, 153, 0
108, CIVILIZATION_GRAN_COLOMBIA, 57, 20, 3, 29, 6, 11, 0, 79, 79, 0
108, CIVILIZATION_GREECE, 36, 14, 5, 19, 0, 0, 0, 35, 35, 0
108, CIVILIZATION_AMERICA, 52, 13, 2, 13, 9, 11, 0, 117, 117, 0
108, CIVILIZATION_CANADA, 36, 24, 3, 8, 2, 8, 0, 0, 0, 0
108, CIVILIZATION_KONGO, 51, 16, 4, 20, 7, 3, 0, 11, 11, 0
108, CIVILIZATION_INDONESIA, 34, 15, 1, 8, 0, 0, 0, 59, 59, 0
108, CIVILIZATION_CARDIFF, 8, 14, 0, 8, 0, 0, 0, 0, 0, 0
108, CIVILIZATION_KANDY, 12, 12, 0, 6, 6, 0, 0, 0, 0, 0
108, CIVILIZATION_LISBON, 12, 12, 2, 4, 0, 0, 0, 0, 0, 0
108, CIVILIZATION_RAPA_NUI, 13, 12, 1, 5, 3, 0, 0, 0, 0, 0
108, CIVILIZATION_MOHENJO_DARO, 9, 12, 1, 7, 0, 0, 0, 0, 0, 0
