Game Turn, Player, Score, CATEGORY_CIVICS, CATEGORY_EMPIRE, CATEGORY_GREAT_PEOPLE, CATEGORY_RELIGION, CATEGORY_TECH, CATEGORY_WONDER, CATEGORY_TRADE, CATEGORY_PILLAGE, CATEGORY_INCOME, CATEGORY_SCENARIO1, CATEGORY_SCENARIO2, CATEGORY_SCENARIO3, CATEGORY_E
180, 2, 354, 57, 77, 30, 28, 60, 0, 0, 0, 0, 0, 0, 0, 102
180, 3, 311, 54, 109, 10, 0, 52, 30, 0, 0, 0, 0, 0, 0, 56
180, 4, 436, 57, 149, 30, 22, 52, 45, 0, 0, 0, 0, 0, 0, 81
180, 5, 246, 48, 66, 5, 0, 54, 15, 0, 0, 0, 0, 0, 0, 58
180, 6, 291, 54, 89, 10, 14, 50, 15, 0, 0, 0, 0, 0, 0, 59
180, 7, 285, 42, 76, 10, 26, 50, 15, 0, 0, 0, 0, 0, 0, 66
180, 8, 226, 39, 43, 25, 0, 56, 15, 0, 0, 0, 0, 0, 0, 48
180, 9, 209, 42, 60, 5, 0, 42, 15, 0, 0, 0, 0, 0, 0, 45
180, 10, 127, 51, 22, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 11, 126, 51, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 12, 128, 48, 26, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 13, 124, 48, 22, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 16, 126, 51, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 18, 117, 48, 15, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 19, 123, 48, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 20, 122, 48, 20, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 21, 124, 51, 19, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 24, 129, 51, 24, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 62, 48, 21, 19, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0
180, 63, 105, 51, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
180, 0, 569, 69, 215, 25, 22, 74, 60, 0, 0, 0, 0, 0, 0, 104
180, 1, 462, 66, 192, 20, 0, 62, 30, 0, 0, 0, 0, 0, 0, 92
181, 2, 354, 57, 77, 30, 28, 60, 0, 0, 0, 0, 0, 0, 0, 102
181, 3, 311, 54, 109, 10, 0, 52, 30, 0, 0, 0, 0, 0, 0, 56
181, 4, 443, 57, 151, 35, 20, 54, 45, 0, 0, 0, 0, 0, 0, 81
181, 5, 249, 51, 66, 5, 0, 54, 15, 0, 0, 0, 0, 0, 0, 58
181, 6, 291, 54, 89, 10, 14, 50, 15, 0, 0, 0, 0, 0, 0, 59
181, 7, 285, 42, 76, 10, 26, 50, 15, 0, 0, 0, 0, 0, 0, 66
181, 8, 226, 39, 43, 25, 0, 56, 15, 0, 0, 0, 0, 0, 0, 48
181, 9, 212, 45, 60, 5, 0, 42, 15, 0, 0, 0, 0, 0, 0, 45
181, 10, 127, 51, 22, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 11, 126, 51, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 12, 128, 48, 26, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 13, 124, 48, 22, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 16, 126, 51, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 18, 117, 48, 15, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 19, 123, 48, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 20, 122, 48, 20, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 21, 124, 51, 19, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 24, 129, 51, 24, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
181, 62, 53, 24, 19, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0
181, 63, 108, 54, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0
