Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
81, Granted to Player, GREAT_PERSON_INDIVIDUAL_SIDDHARTHA_GAUTAMA, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 2, 81
81, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZOROASTER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
81, Granted to Player, GREAT_PERSON_INDIVIDUAL_ZOROASTER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 7, 81
81, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_SIMON_PETER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
82, Great Person Activated, GREAT_PERSON_INDIVIDUAL_SIDDHARTHA_GAUTAMA, GREAT_PERSON_CLASS_PROPHET, Era TBD, 2
82, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ZOROASTER, GREAT_PERSON_CLASS_PROPHET, Era TBD, 7
82, Granted to Player, GREAT_PERSON_INDIVIDUAL_ARYABHATA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, 8, 82
82, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_EUCLID, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, -1, -1
83, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ARYABHATA, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 8
88, Granted to Player, GREAT_PERSON_INDIVIDUAL_EUCLID, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 48, 2, 88
88, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HYPATIA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, -1, -1
88, Great Person Activated, GREAT_PERSON_INDIVIDUAL_EUCLID, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
88, Granted to Player, GREAT_PERSON_INDIVIDUAL_HYPATIA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, 0, 88
88, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_HENG, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, -1, -1
88, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HYPATIA, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 0
100, Granted to Player, GREAT_PERSON_INDIVIDUAL_ZHANG_HENG, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, 2, 100
100, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, -1, -1
100, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ZHANG_HENG, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
103, Granted to Player, GREAT_PERSON_INDIVIDUAL_SIMON_PETER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 6, 103
103, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JOHN_THE_BAPTIST, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
104, Great Person Activated, GREAT_PERSON_INDIVIDUAL_SIMON_PETER, GREAT_PERSON_CLASS_PROPHET, Era TBD, 6
