Game Turn, Player, Boosted System, Progress
63, 5, TECH_SAILING, Unstarted
63, 1, TECH_MACHINERY, Unstarted
64, 7, TECH_APPRENTICESHIP, Unstarted
64, 5, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
64, 12, TECH_HORSEBACK_RIDING, Unstarted
64, 0, CIVIC_RECORDED_HISTORY, Unstarted
66, 5, CIVIC_MERCENARIES, Unstarted
67, 16, CIVIC_DEFENSIVE_TACTICS, Unstarted
67, 14, CIVIC_NATIONALISM, Unstarted
67, 5, TECH_MACHINERY, Unstarted
68, 3, TECH_ENGINEERING, Unstarted
68, 19, TECH_HORSEBACK_RIDING, Unstarted
68, 0, TECH_ASTROLOGY, Unstarted
69, 4, CIVIC_FEUDALISM, Unstarted
70, 4, TECH_MASONRY, Unstarted
70, 5, TECH_APPRENTICESHIP, Unstarted
70, 7, TECH_CURRENCY, Unstarted
70, 9, TECH_WRITING, Unstarted
71, 8, CIVIC_MYSTICISM, Unstarted
71, 24, TECH_THE_WHEEL, Unstarted
71, 24, TECH_APPRENTICESHIP, Unstarted
72, 17, CIVIC_DEFENSIVE_TACTICS, Unstarted
72, 6, TECH_MASONRY, Unstarted
73, 2, CIVIC_RECORDED_HISTORY, Unstarted
74, 7, TECH_WRITING, Unstarted
74, 9, TECH_MASONRY, Unstarted
75, 9, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
76, 6, TECH_HORSEBACK_RIDING, Unstarted
76, 24, TECH_MASONRY, Unstarted
77, 3, TECH_APPRENTICESHIP, Unstarted
77, 17, TECH_HORSEBACK_RIDING, Unstarted
77, 1, CIVIC_MERCENARIES, Unstarted
78, 9, TECH_HORSEBACK_RIDING, In Progress
78, 13, TECH_CELESTIAL_NAVIGATION, Completed
79, 2, TECH_IRON_WORKING, Unstarted
79, 2, TECH_APPRENTICESHIP, Unstarted
79, 6, CIVIC_DRAMA_POETRY, Unstarted
79, 13, TECH_CURRENCY, Unstarted
79, 0, TECH_HORSEBACK_RIDING, In Progress
80, 8, CIVIC_DRAMA_POETRY, Unstarted
81, 4, CIVIC_MERCENARIES, Unstarted
81, 6, CIVIC_MILITARY_TRADITION, Unstarted
81, 0, TECH_THE_WHEEL, In Progress
81, 0, TECH_IRON_WORKING, In Progress
81, 0, CIVIC_FEUDALISM, Unstarted
82, 2, CIVIC_THEOLOGY, Unstarted
82, 3, TECH_MACHINERY, Unstarted
82, 7, CIVIC_THEOLOGY, Unstarted
82, 8, TECH_EDUCATION, Unstarted
82, 0, TECH_CURRENCY, Unstarted
83, 4, TECH_SHIPBUILDING, Unstarted
83, 11, TECH_CURRENCY, Unstarted
84, 4, CIVIC_DEFENSIVE_TACTICS, Unstarted
84, 15, CIVIC_NATIONALISM, Unstarted
84, 12, TECH_IRRIGATION, Unstarted
84, 21, TECH_CONSTRUCTION, Unstarted
85, 2, TECH_MATHEMATICS, Unstarted
85, 3, CIVIC_MERCENARIES, Unstarted
85, 4, TECH_MACHINERY, Unstarted
85, 1, TECH_HORSEBACK_RIDING, Unstarted
85, 2, TECH_MATHEMATICS, Unstarted
85, 3, CIVIC_MERCENARIES, Unstarted
85, 4, TECH_MACHINERY, Unstarted
85, 18, TECH_CONSTRUCTION, Unstarted
85, 19, TECH_CONSTRUCTION, Unstarted
85, 1, TECH_HORSEBACK_RIDING, Unstarted
87, 6, CIVIC_FEUDALISM, Unstarted
88, 2, TECH_EDUCATION, Unstarted
88, 22, TECH_CURRENCY, Completed
88, 0, CIVIC_DRAMA_POETRY, In Progress
88, 0, TECH_EDUCATION, Unstarted
89, 21, CIVIC_NATIONALISM, Unstarted
90, 5, CIVIC_DEFENSIVE_TACTICS, Unstarted
90, 16, CIVIC_NATIONALISM, Unstarted
90, 0, TECH_CONSTRUCTION, In Progress
90, 0, CIVIC_MERCENARIES, Unstarted
91, 13, CIVIC_NATIONALISM, Unstarted
91, 5, CIVIC_RECORDED_HISTORY, In Progress
91, 0, CIVIC_GAMES_RECREATION, In Progress
92, 3, TECH_HORSEBACK_RIDING, In Progress
93, 10, TECH_CONSTRUCTION, Unstarted
94, 0, TECH_APPRENTICESHIP, In Progress
95, 11, TECH_ENGINEERING, Unstarted
95, 18, TECH_ENGINEERING, Unstarted
95, 19, TECH_ENGINEERING, Unstarted
95, 23, TECH_ENGINEERING, Unstarted
96, 7, TECH_MATHEMATICS, Unstarted
96, 21, TECH_CURRENCY, Completed
98, 2, CIVIC_CIVIL_SERVICE, Unstarted
98, 10, TECH_ENGINEERING, Unstarted
99, 3, CIVIC_RECORDED_HISTORY, Completed
100, 2, CIVIC_THE_ENLIGHTENMENT, Unstarted
100, 4, TECH_MATHEMATICS, Unstarted
100, 1, TECH_APPRENTICESHIP, Unstarted
101, 1, TECH_MATHEMATICS, Unstarted
102, 0, CIVIC_MILITARY_TRAINING, In Progress
103, 24, TECH_ENGINEERING, In Progress
104, 6, CIVIC_THEOLOGY, Unstarted
104, 16, TECH_ENGINEERING, Unstarted
104, 0, TECH_MATHEMATICS, Unstarted
105, 12, CIVIC_NATIONALISM, Unstarted
105, 0, TECH_MASS_PRODUCTION, Unstarted
106, 3, TECH_IRON_WORKING, Unstarted
